0,1,2,3
1.0,0.0,0.0,0.588879760472039
0.0,-1.0,0.0,-0.030586377756205426
0.0,0.0,-1.0,0.8075175515656954
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5894626623378943
0.0,-1.0,0.0,-0.03054955860528436
0.0,0.0,-1.0,0.8070911777065726
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5893867194735884
0.0,-1.0,0.0,-0.030206381372622482
0.0,0.0,-1.0,0.8071592916657565
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.589721661808163
0.0,-1.0,0.0,-0.0296187259187774
0.0,0.0,-1.0,0.8069422463468876
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.58974027059011
0.0,-1.0,0.0,-0.03148923158776265
0.0,0.0,-1.0,0.8068465426108062
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5894020095956893
0.0,-1.0,0.0,-0.031200532163445517
0.0,0.0,-1.0,0.8071009628781715
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.589436668887337
0.0,-1.0,0.0,-0.030954655584915745
0.0,0.0,-1.0,0.8070843881622366
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5892141157289066
0.0,-1.0,0.0,-0.03086722995790495
0.0,0.0,-1.0,0.8072553116736967
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5892040283241081
0.0,-1.0,0.0,-0.03119733048730426
0.0,0.0,-1.0,0.8072501438036686
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5892108899040052
0.0,-1.0,0.0,-0.031177972470058404
0.0,0.0,-1.0,0.8072457361639398
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5891908943004155
0.0,-1.0,0.0,-0.031213558084853578
0.0,0.0,-1.0,0.8072593924505462
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5892346189398989
0.0,-1.0,0.0,-0.03128683977724228
0.0,0.0,-1.0,0.807224471099791
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5888364721140276
0.0,-1.0,0.0,-0.03185204886332147
0.0,0.0,-1.0,0.8074900250795867
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5889524256499032
0.0,-1.0,0.0,-0.031844466806165664
0.0,0.0,-1.0,0.8074030996547364
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5889968288314351
0.0,-1.0,0.0,-0.031864772353456916
0.0,0.0,-1.0,0.8073736414067119
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5888410484907479
0.0,-1.0,0.0,-0.03184645221539496
0.0,0.0,-1.0,0.8074921773046728
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5887208549466632
0.0,-1.0,0.0,-0.031850762269587385
0.0,0.0,-1.0,0.8075769985860302
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5887200795591576
0.0,-1.0,0.0,-0.03185076883568566
0.0,0.0,-1.0,0.8075775810920351
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.5887208549466634
0.0,-1.0,0.0,-0.03185076226958717
