,Timestamp,idx,gaze_x,gaze_y,gaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadBox_xmin,HeadBox_ymin,RightEyeBox_xmin,RightEyeBox_ymin,LeftEyeBox_xmin,LeftEyeBox_ymin,ROpenClose,LOpenClose,set_x,set_y,set_z,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG
0,1715586849.2871845,0.0,-0.080013208091259,-0.31355398893356323,0.9461933374404907,32.0,80.0,112.0,76.0,-14.382080078125,-25.534597396850586,-2.915741205215454,550.0,319.0,7.0,55.0,87.0,51.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1715586849.4013367,0.0,0.17633676528930664,-0.1318056434392929,0.9754653573036194,37.0,83.0,119.0,78.0,-11.006153106689453,-28.728551864624023,-2.887080192565918,550.0,320.0,12.0,58.0,94.0,53.0,0.0,0.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.319083159055225,0.0,-1.0,0.0,-0.06473660022130438,0.0,0.0,-1.0,0.9454319981752126,0.0,0.0,0.0,1.0
2,1715586849.5098972,0.0,-0.036086730659008026,-0.07743486762046814,0.9963440895080566,37.0,86.0,118.0,84.0,-6.801918029785156,-26.32396125793457,-1.0191757678985596,556.0,321.0,13.0,62.0,94.0,60.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.31648677852772233,0.0,-1.0,0.0,-0.06180822354405253,0.0,0.0,-1.0,0.9464723151828172,0.0,0.0,0.0,1.0
3,1715586849.6048834,0.0,-0.14023584127426147,-0.034838415682315826,0.9895050525665283,37.0,87.0,118.0,84.0,-7.178351402282715,-25.188671112060547,-0.9756679534912109,561.0,322.0,13.0,63.0,94.0,60.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.31164355769751106,0.0,-1.0,0.0,-0.058617027309100775,0.0,0.0,-1.0,0.9482838729201125,0.0,0.0,0.0,1.0
4,1715586849.7116125,0.0,-0.080013208091259,-0.07743486762046814,0.9895050525665283,40.0,89.0,121.0,86.0,-6.390052318572998,-21.391782760620117,-0.9762957096099854,562.0,322.0,16.0,65.0,97.0,62.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.3069745368434563,0.0,-1.0,0.0,-0.05703552243175211,0.0,0.0,-1.0,0.9498995670965055,0.0,0.0,0.0,1.0
5,1715586849.80638,0.0,-0.06479381024837494,-0.034838415682315826,0.9953902959823608,40.0,88.0,122.0,84.0,-9.754829406738281,-25.660512924194336,-1.604300856590271,564.0,323.0,16.0,64.0,98.0,60.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.3052560687147443,0.0,-1.0,0.0,-0.05624516746767568,0.0,0.0,-1.0,0.9504971472825343,0.0,0.0,0.0,1.0
6,1715586849.9103882,0.0,-0.06479381024837494,0.00041694744140841067,0.9963440895080566,43.0,91.0,126.0,89.0,-5.885895252227783,-24.534709930419922,-0.7072827816009521,564.0,320.0,19.0,67.0,102.0,65.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.3038892127457749,0.0,-1.0,0.0,-0.05612161852714919,0.0,0.0,-1.0,0.9509514852151629,0.0,0.0,0.0,1.0
7,1715586850.009061,0.0,-0.06479381024837494,0.008316726423799992,0.9953902959823608,45.0,94.0,127.0,92.0,-4.816518306732178,-21.285991668701172,-1.2564442157745361,566.0,319.0,21.0,70.0,103.0,68.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.3033715703478423,0.0,-1.0,0.0,-0.05493379578511741,0.0,0.0,-1.0,0.9511754099585825,0.0,0.0,0.0,1.0
8,1715586850.1115346,0.0,-0.009992508217692375,0.008316726423799992,0.9953902959823608,45.0,95.0,128.0,93.0,-4.428107738494873,-17.96945571899414,0.03054976463317871,568.0,319.0,20.0,70.0,103.0,68.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.3010160055669926,0.0,-1.0,0.0,-0.054352820066892855,0.0,0.0,-1.0,0.9519528334360913,0.0,0.0,0.0,1.0
9,1715586850.2159324,0.0,0.06830121576786041,0.026092300191521645,0.9972090125083923,47.0,94.0,130.0,92.0,-5.590333938598633,-25.384679794311523,-0.03284502029418945,569.0,320.0,22.0,69.0,105.0,67.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.29730716506762034,0.0,-1.0,0.0,-0.053296891270397426,0.0,0.0,-1.0,0.9531799471286952,0.0,0.0,0.0,1.0
10,1715586850.312142,0.0,0.06830121576786041,0.021833904087543488,0.9972090125083923,47.0,94.0,130.0,93.0,-6.013092994689941,-23.477235794067383,0.2584102153778076,570.0,320.0,22.0,69.0,105.0,68.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.29654187224614836,0.0,-1.0,0.0,-0.05354542796377028,0.0,0.0,-1.0,0.9534000638917857,0.0,0.0,0.0,1.0
11,1715586850.4190404,0.0,0.08802028000354767,0.008316726423799992,0.9961004853248596,46.0,95.0,130.0,94.0,-4.2353835105896,-23.16343879699707,0.6279952526092529,569.0,319.0,21.0,70.0,105.0,69.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2960857494218818,0.0,-1.0,0.0,-0.05327472669822888,0.0,0.0,-1.0,0.9535544239136768,0.0,0.0,0.0,1.0
12,1715586850.5137236,0.0,0.06830121576786041,0.018141089007258415,0.9972090125083923,45.0,95.0,129.0,94.0,-5.8444414138793945,-22.05751609802246,0.7408881187438965,569.0,319.0,20.0,70.0,104.0,69.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2968857392301184,0.0,-1.0,0.0,-0.052120814144641064,0.0,0.0,-1.0,0.9533665610566162,0.0,0.0,0.0,1.0
13,1715586850.6156685,1.0,0.06830121576786041,0.021833904087543488,0.9973403215408325,45.0,95.0,129.0,93.0,-5.63627290725708,-21.406068801879883,0.9839136600494385,569.0,319.0,20.0,70.0,104.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.2969097546442049,0.0,-1.0,0.0,-0.052146264250848715,0.0,0.0,-1.0,0.9533635701099926,0.0,0.0,0.0,1.0
14,1715586850.7168796,1.0,0.06856204569339752,0.021833904087543488,0.9973403215408325,46.0,95.0,129.0,93.0,-4.028169631958008,-21.3046817779541,0.6761813163757324,568.0,319.0,21.0,70.0,104.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.29756810764881864,0.0,-1.0,0.0,-0.05245050268198363,0.0,0.0,-1.0,0.9531469535732353,0.0,0.0,0.0,1.0
15,1715586850.814801,1.0,0.08802028000354767,0.024729080498218536,0.9961004853248596,45.0,95.0,129.0,93.0,-3.8127875328063965,-19.1964111328125,1.3945848941802979,568.0,319.0,20.0,70.0,104.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.2974408841918733,0.0,-1.0,0.0,-0.05245858804161385,0.0,0.0,-1.0,0.9531841777049069,0.0,0.0,0.0,1.0
16,1715586850.9230108,1.0,0.06856204569339752,0.03304643556475639,0.9968217015266418,45.0,95.0,128.0,93.0,-5.380118370056152,-19.608844757080078,1.2600624561309814,569.0,319.0,20.0,70.0,103.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.2977195374979203,0.0,-1.0,0.0,-0.05237250212667656,0.0,0.0,-1.0,0.9531063514404365,0.0,0.0,0.0,1.0
17,1715586851.0188897,1.0,0.06856204569339752,0.040540218353271484,0.9950000047683716,43.0,95.0,126.0,93.0,-3.5215845108032227,-20.440258026123047,1.580092191696167,568.0,319.0,18.0,70.0,101.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.29690775450233287,0.0,-1.0,0.0,-0.05268277219518018,0.0,0.0,-1.0,0.9533400452268869,0.0,0.0,0.0,1.0
18,1715586851.121423,1.0,0.06278205662965775,0.0426851324737072,0.994853675365448,42.0,95.0,125.0,93.0,-3.1878840923309326,-20.37236785888672,1.856802225112915,568.0,319.0,17.0,70.0,100.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.29655478639374827,0.0,-1.0,0.0,-0.05285295992417739,0.0,0.0,-1.0,0.9534348641898555,0.0,0.0,0.0,1.0
19,1715586851.2197795,1.0,-0.2689242660999298,0.0426851324737072,0.9606724977493286,43.0,95.0,126.0,94.0,-4.25119686126709,-20.39691925048828,1.7605063915252686,568.0,319.0,18.0,70.0,101.0,69.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.29758501595341214,0.0,-1.0,0.0,-0.05207331622187486,0.0,0.0,-1.0,0.9531625635305645,0.0,0.0,0.0,1.0
20,1715586851.325243,1.0,-0.27730196714401245,0.0426851324737072,0.959834098815918,43.0,94.0,126.0,93.0,-4.543676376342773,-22.588207244873047,1.2317917346954346,568.0,320.0,18.0,69.0,101.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.29735602642330233,0.0,-1.0,0.0,-0.05217682199794352,0.0,0.0,-1.0,0.9532246895532797,0.0,0.0,0.0,1.0
21,1715586851.4255173,1.0,-0.28752994537353516,0.0426851324737072,0.9569876194000244,42.0,94.0,124.0,93.0,-4.467348575592041,-21.298450469970703,1.6779701709747314,569.0,320.0,17.0,69.0,99.0,68.0,1.0,1.0,309.0,21.0,0.0,1.0,0.0,0.0,-0.2972136711702037,0.0,-1.0,0.0,-0.052444685402751254,0.0,0.0,-1.0,0.9532519857614756,0.0,0.0,0.0,1.0
