,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
0,2024-05-13 14:54:17.028325,-0.17395298182964325,-0.1390145719051361,0.9757051467895508,-89.25932828277539,99.10352222343332,0.0,45,101,127,98,-4.6890793,-21.193306,-0.115718365,573,321,172,107,0,0.0,0.0,0.0,-82.9500842334144,112.49144621260636,0.0,-95.56857233213637,85.71559823426026,0.0,1,1
1,2024-05-13 14:54:17.148299,-0.1427800953388214,-0.13840462267398834,0.9775720238685608,212.62234174682442,158.47962614014168,0.0,46,102,127,99,-4.0856433,-21.7156,-0.5697601,573,320,172,107,0,-205.0124039654949,-34.52461933531811,663.234495342163,218.9315857961854,171.86755012931474,0.0,206.31309769746343,145.09170215096862,0.0,1,1
2,2024-05-13 14:54:17.272896,-0.14263731241226196,-0.1390145719051361,0.9775720238685608,211.8870854062249,159.28742557974766,0.0,47,100,130,99,-4.053423,-15.432224,-0.2916746,571,321,172,107,0,-204.34150503325077,-34.16232840806065,663.457330165434,218.1963294555859,172.6753495689207,0.0,205.57784135686393,145.8995015905746,0.0,0,0
3,2024-05-13 14:54:17.389039,-0.13832290470600128,-0.1549437791109085,0.9775720238685608,209.15209651483633,169.45620688491914,0.0,47,95,133,96,-4.562629,-9.911961,2.4463646,569,323,172,107,0,-204.5488597821099,-34.78840221386971,663.3566425077936,215.46134056419731,182.84413087409217,0.0,202.84285246547535,156.06828289574608,0.0,0,0
4,2024-05-13 14:54:17.494338,-0.06472234427928925,-0.13840462267398834,0.9806686043739319,159.467664999424,157.9132878098602,0.0,48,92,135,91,-2.515112,-13.926107,0.30656743,568,324,172,107,0,-204.95484655343742,-34.794190189374,663.2326211441323,165.77690904878497,171.30121179903324,0.0,153.158420950063,144.52536382068715,0.0,0,1
5,2024-05-13 14:54:17.614620,-0.06310433149337769,-0.13490918278694153,0.981255829334259,157.49253261886594,155.46240084772208,0.0,46,95,129,93,-3.9862378,-15.833752,-0.6406748,574,323,172,107,0,-204.08258670023068,-34.862702785354,663.4960398556791,163.80177666822692,168.85032483689514,0.0,151.18328856950495,142.07447685854902,0.0,1,1
6,2024-05-13 14:54:17.733184,0.036962464451789856,-0.13490918278694153,0.9888319373130798,90.02418408551038,154.57425256991985,0.0,46,97,129,96,-2.1289954,-12.457649,-0.29078317,575,321,172,107,0,-204.0846264490048,-35.05077795823072,663.4875149071005,96.33342813487137,167.9621765590929,0.0,83.7149400361494,141.1863285807468,0.0,1,1
7,2024-05-13 14:54:17.844111,0.04996158927679062,-0.062083106487989426,0.996695876121521,80.97787946474146,104.8395499094042,0.0,46,96,129,94,-1.3972759,-12.3905945,0.46715617,575,322,172,107,0,-203.50358874695192,-35.601333754157885,663.6391122775374,87.28712351410245,118.22747389857724,0.0,74.66863541538048,91.45162592023115,0.0,1,1
8,2024-05-13 14:54:17.951294,0.04996158927679062,-0.039141058921813965,0.996695876121521,81.37897567420606,89.62030700547649,0.0,45,96,129,95,-3.6402736,-15.211979,1.1501677,575,321,172,107,0,-203.8987890371672,-35.54024473075561,663.5214931527898,87.68821972356704,103.00823099464955,0.0,75.06973162484508,76.23238301630344,0.0,1,1
9,2024-05-13 14:54:18.058124,0.036962464451789856,-0.039141058921813965,0.9982777833938599,89.54942359567838,89.90260841039245,0.0,46,96,128,95,-3.7121544,-16.175869,1.1996043,575,322,172,107,0,-203.38290210904472,-35.22348228608251,663.695686551932,95.85866764503936,103.29053239956549,0.0,83.24017954631739,76.51468442121939,0.0,1,1
10,2024-05-13 14:54:18.164064,-0.027089474722743034,-0.05071404203772545,0.996695876121521,132.79632818865235,97.93802407587435,0.0,45,97,128,96,-4.288606,-16.350948,0.8250935,575,321,172,107,0,-204.02188393018,-34.92641481781805,663.5118217218468,139.10557223801334,111.3259480650474,0.0,126.48708413929137,84.55010008670129,0.0,1,1
11,2024-05-13 14:54:18.267862,-0.030821727588772774,-0.062083106487989426,0.9966539740562439,135.68897042924425,105.46172481669431,0.0,46,99,128,97,-2.457621,-16.413656,1.579293,574,320,172,107,0,-204.43286522144317,-34.9653033125751,663.3887817929327,141.99821447860523,118.84964880586736,0.0,129.37972637988327,92.07380082752127,0.0,1,1
12,2024-05-13 14:54:18.374305,-0.030821727588772774,-0.06665240973234177,0.9963095784187317,135.40831511303125,108.4899332774364,0.0,46,100,128,97,-2.1790712,-15.567656,1.6567414,574,320,172,107,0,-204.14232334993568,-34.99987578357097,663.4791285761756,141.71755916239223,121.87785726660945,0.0,129.09907106367027,95.10200928826336,0.0,1,1
13,2024-05-13 14:54:18.481216,-0.027089474722743034,-0.08010762184858322,0.9956300854682922,133.31216363556047,117.45041163573238,0.0,45,100,127,97,-3.0847483,-16.338684,0.97689366,574,320,172,107,0,-204.5225631980958,-35.02648794149472,663.3593537071026,139.62140768492145,130.83833562490543,0.0,127.00291958619948,104.06248764655933,0.0,1,1
14,2024-05-13 14:54:18.590111,-0.015150170773267746,-0.0932304635643959,0.9949818849563599,125.7708698337631,125.84684722724242,0.0,47,101,129,98,-2.7663608,-14.013343,0.2125194,573,319,172,107,0,-204.93170051878366,-35.400371356621555,663.2151099425635,132.08011388312408,139.23477121641548,0.0,119.46162578440213,112.45892323806937,0.0,1,1
