,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
0,2024-05-12 20:03:34.128460,-0.18826057016849518,-0.18017901480197906,0.965449869632721,2.4210661140514844,103.47502564561199,0.0,72,120,173,123,-2.5462575,-17.022373,0.53274417,557,276,172,107,0,0.0,0.0,0.0,-10.459867338483662,95.68353221734465,0.0,15.30199956658663,111.26651907387935,0.0,1,1
1,2024-05-12 20:03:34.261563,-0.18826057016849518,-0.18017901480197906,0.965449869632721,293.3886323604811,174.05384666459594,0.0,71,121,171,124,-2.2398257,-17.970707,0.6216297,558,275,172,107,0,-175.43474884687205,-39.99446152083926,592.4827668208661,280.50769890794595,166.2623532363286,0.0,306.26956581301624,181.8453400928633,0.0,1,1
2,2024-05-12 20:03:34.392988,-0.20227771997451782,-0.1791791170835495,0.9630024433135986,302.401023379568,175.13775269046306,0.0,72,121,171,123,-1.9835057,-11.720465,1.3535292,557,276,172,107,0,-175.5147264486757,-38.589505223592546,592.5532549966861,289.52008992703287,167.34625926219573,0.0,315.28195683210316,182.92924611873042,0.0,1,1
3,2024-05-12 20:03:34.521021,-0.20227771997451782,-0.18448923528194427,0.961793839931488,302.2311399214421,178.95556737445708,0.0,66,120,170,124,-3.5127969,-6.887117,1.2451046,560,278,172,107,0,-175.16047187197273,-38.20726205973342,592.6862301320182,289.35020646890695,171.16407394618972,0.0,315.11207337397724,186.74706080272443,0.0,1,1
4,2024-05-12 20:03:34.656314,-0.20227771997451782,-0.18448923528194427,0.961793839931488,301.49774647244766,179.58545039639517,0.0,72,122,175,126,-0.91874456,-14.71493,3.0645292,557,274,172,107,0,-174.36766472003538,-37.63156784624435,592.9687315044146,288.6168130199125,171.79395696812782,0.0,314.3786799249828,187.37694382466253,0.0,1,1
5,2024-05-12 20:03:34.805394,-0.18265670537948608,-0.17831557989120483,0.9630024433135986,289.08659381637574,175.00574221643103,0.0,72,121,173,124,-2.2704673,-16.328514,0.17832065,558,275,172,107,0,-174.19494094288007,-38.26682881382873,592.9672804797175,276.2056603638406,167.21424878816367,0.0,301.9675272689109,182.7972356446984,0.0,1,1
6,2024-05-12 20:03:34.950797,0.09230704605579376,-0.1771550178527832,0.9773761034011841,120.444728636105,172.69945182695528,0.0,71,118,173,120,-1.164649,-17.020039,0.33166027,558,277,172,107,0,-174.03044112151787,-38.2633798596802,593.0174279275562,107.56379518356985,164.90795839868795,0.0,133.32566208864014,180.49094525522264,0.0,1,1
7,2024-05-12 20:03:35.080950,0.09230704605579376,-0.1771550178527832,0.9798446893692017,121.66888086199407,171.96215480269592,0.0,72,119,174,121,-2.2520862,-17.87529,-0.00551486,558,276,172,107,0,-175.0821592648395,-38.66974263481195,592.6848306490464,108.78794740945892,164.1706613744286,0.0,134.54981431452921,179.75364823096328,0.0,1,1
8,2024-05-12 20:03:35.216078,0.11375173181295395,-0.15703576803207397,0.9798446893692017,108.25902230937321,159.35003513945344,0.0,74,121,177,123,7.8115764,-18.179432,0.5385301,566,275,172,107,0,-174.6549610360845,-39.12777452184306,592.78197928796,95.37808885683806,151.5585417111861,0.0,121.13995576190835,167.1415285677208,0.0,1,1
9,2024-05-12 20:03:35.358699,0.1205729991197586,-0.15537603199481964,0.978333055973053,98.14195435608242,158.22663526859924,0.0,83,121,179,118,12.078838,-16.436298,1.8243301,578,276,172,107,0,-168.97598240042282,-39.64834672571913,594.3941069458633,85.26102090354728,150.43514184033188,0.0,111.02288780861757,166.0181286968666,0.0,1,1
10,2024-05-12 20:03:35.490931,0.1349225491285324,-0.1513960063457489,0.978333055973053,82.52007465371628,155.53632628070062,0.0,88,118,180,117,13.227657,-23.052326,3.8664181,576,279,172,107,0,-162.3246168384546,-40.203697292927096,596.2237681231785,69.63914120118113,147.7448328524333,0.0,95.40100810625142,163.32781970896798,0.0,1,1
11,2024-05-12 20:03:35.624575,0.24892012774944305,-0.1375441700220108,0.9566180109977722,11.63955461421952,149.82755949600534,0.0,87,115,180,117,13.325508,-26.176477,3.6366289,568,282,172,107,0,-164.25177764713587,-39.31319866508349,595.804116135991,-1.241378838315626,142.03606606773798,0.0,24.520488066754666,157.61905292427267,0.0,1,1
12,2024-05-12 20:03:35.750184,0.25397947430610657,-0.1375441700220108,0.9566180109977722,9.735915288760964,150.21146910171814,0.0,89,115,182,117,13.611603,-25.963585,3.7876604,563,282,172,107,0,-165.4147641808428,-38.88355260648992,595.486019668668,-3.145018163774182,142.41997567345078,0.0,22.61684874129611,158.0029625299855,0.0,1,1
13,2024-05-12 20:03:35.885714,0.25397947430610657,-0.1346699446439743,0.9566180109977722,10.712237372426443,148.05595106699263,0.0,89,115,182,117,12.324076,-26.703543,3.5987422,559,284,172,107,0,-166.31755790416344,-39.2109038200107,595.2090738484704,-2.1686960801087025,140.26445763872528,0.0,23.59317082496159,155.84744449526,0.0,1,1
14,2024-05-12 20:03:36.011568,0.25397947430610657,-0.1346699446439743,0.9566180109977722,12.590789634222403,149.1008401725814,0.0,89,115,182,117,12.215286,-21.391348,2.5368474,549,286,172,107,0,-168.08134538663643,-38.10516189739516,594.7768103546251,-0.2901438183127425,141.30934674431404,0.0,25.47172308675755,156.89233360084873,0.0,1,1
