,Timestamp,idx,gaze_x,gaze_y,gaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadBox_xmin,HeadBox_ymin,RightEyeBox_xmin,RightEyeBox_ymin,LeftEyeBox_xmin,LeftEyeBox_ymin,ROpenClose,LOpenClose,set_x,set_y,set_z,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG
0,1716188318.7084975,0.0,0.22226600348949432,-0.019751286134123802,0.9747859835624695,67.0,104.0,168.0,107.0,-1.875265121459961,-11.597399711608887,2.6605165004730225,563.0,360.0,33.0,70.0,134.0,73.0,1.0,1.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1716188318.8178425,0.0,0.29887062311172485,-0.049719251692295074,0.9529975652694702,66.0,105.0,166.0,108.0,-1.6337041854858398,-6.852145671844482,2.1361773014068604,560.0,353.0,33.0,72.0,133.0,75.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2945089109928301,0.0,-1.0,0.0,-0.01220195160919105,0.0,0.0,-1.0,0.9555054550460961,0.0,0.0,0.0,1.0
2,1716188318.92224,0.0,-0.4577517509460449,-0.21460089087486267,0.862791895866394,57.0,84.0,149.0,87.0,-4.808130264282227,-9.061576843261719,-0.9863519668579102,572.0,366.0,28.0,55.0,120.0,58.0,0.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2993811596278481,0.0,-1.0,0.0,-0.016197684727677818,0.0,0.0,-1.0,0.9539242660220291,0.0,0.0,0.0,1.0
3,1716188319.0223613,0.0,-0.08093947172164917,-0.27286332845687866,0.9586419463157654,59.0,87.0,149.0,93.0,-2.2156059741973877,-10.608587265014648,-1.083660364151001,573.0,363.0,30.0,58.0,120.0,64.0,0.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.28702306666674154,0.0,-1.0,0.0,-0.019536605083684863,0.0,0.0,-1.0,0.9575915257142102,0.0,0.0,0.0,1.0
4,1716188319.1312194,0.0,0.0026930319145321846,-0.21460089087486267,0.9529975652694702,63.0,88.0,151.0,95.0,-0.5262269973754883,-9.60435676574707,-0.9684488773345947,573.0,363.0,34.0,59.0,122.0,66.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2847836025572894,0.0,-1.0,0.0,-0.021413216823798945,0.0,0.0,-1.0,0.9582209435012701,0.0,0.0,0.0,1.0
5,1716188319.2259839,0.0,-0.010715249925851822,-0.27286332845687866,0.9529975652694702,66.0,91.0,151.0,98.0,-0.25544118881225586,-11.9972562789917,-1.0028841495513916,572.0,361.0,36.0,61.0,121.0,68.0,1.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2839168954704545,0.0,-1.0,0.0,-0.02133070415514727,0.0,0.0,-1.0,0.9584768126348907,0.0,0.0,0.0,1.0
6,1716188319.3275213,0.0,-0.010715249925851822,-0.27497515082359314,0.9519535899162292,68.0,90.0,152.0,98.0,0.9571952819824219,-13.055448532104492,0.11878252029418945,572.0,361.0,38.0,60.0,122.0,68.0,0.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.28321759573412164,0.0,-1.0,0.0,-0.0209548779637493,0.0,0.0,-1.0,0.9586911839657632,0.0,0.0,0.0,1.0
7,1716188319.4349692,0.0,-0.010715249925851822,-0.2801104187965393,0.9519535899162292,64.0,87.0,155.0,95.0,-1.3149542808532715,-13.278027534484863,-0.5374469757080078,572.0,364.0,34.0,57.0,125.0,65.0,0.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.28426441351972015,0.0,-1.0,0.0,-0.020286635343699205,0.0,0.0,-1.0,0.9583969631901372,0.0,0.0,0.0,1.0
8,1716188319.527354,0.0,0.0026930319145321846,-0.2801104187965393,0.9519535899162292,67.0,89.0,153.0,98.0,-0.8350462913513184,-9.693172454833984,-0.8955702781677246,572.0,362.0,37.0,59.0,123.0,68.0,0.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.2838403514533285,0.0,-1.0,0.0,-0.019150844790355545,0.0,0.0,-1.0,0.9585316563868131,0.0,0.0,0.0,1.0
9,1716188319.6290994,0.0,-0.010715249925851822,-0.27926114201545715,0.9510714411735535,61.0,85.0,154.0,92.0,-3.473451614379883,-10.976729393005371,-0.6756551265716553,573.0,365.0,31.0,55.0,124.0,62.0,0.0,1.0,34.0,21.0,0.0,1.0,0.0,0.0,-0.28359739832711306,0.0,-1.0,0.0,-0.0194986002075941,0.0,0.0,-1.0,0.958605780398341,0.0,0.0,0.0,1.0
