,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
0,2024-05-13 16:37:20.789114,-0.18139153718948364,-0.272379606962204,0.944772481918335,37.10507704087023,44.065817091516266,0.0,67,149,188,152,-4.781722,-3.545123,1.1912572,537,318,172,107,0,0.0,0.0,0.0,41.068583381231996,43.57704890905306,0.0,33.14157070050845,44.55458527397948,0.0,1,1
1,2024-05-13 16:37:20.921228,-0.18139153718948364,-0.27388662099838257,0.944772481918335,276.6028713400966,179.31235158034764,0.0,68,149,190,152,-4.5965424,-4.1176596,1.2325542,536,318,172,107,0,-147.14188429945523,-4.203455907603497,481.0330385985001,280.56637768045834,178.82358339788442,0.0,272.6393649997348,179.80111976281083,0.0,1,1
2,2024-05-13 16:37:21.032685,-0.17188425362110138,-0.274544894695282,0.944501519203186,271.77294624105235,179.19746082179535,0.0,70,153,192,156,-4.6451416,-6.7492266,1.2740805,535,316,172,107,0,-147.1274655061321,-4.69367713212563,481.03326825360807,275.73645258141414,178.70869263933213,0.0,267.80943990069056,179.68622900425854,0.0,0,1
3,2024-05-13 16:37:21.143034,-0.16996629536151886,-0.27550941705703735,0.944501519203186,270.9938743712521,179.49875254172122,0.0,69,151,193,154,-5.186446,-2.9368763,1.0080855,535,318,172,107,0,-147.33612201346313,-4.86592245318479,480.97261374114896,274.95738071161384,179.009984359258,0.0,267.0303680308903,179.98752072418444,0.0,0,1
4,2024-05-13 16:37:21.254783,-0.14072668552398682,-0.30261045694351196,0.9426679611206055,256.40200017809434,193.75651114187502,0.0,70,149,195,152,-5.6986947,-4.592351,0.78725076,535,318,172,107,0,-147.50261367787985,-4.691601749061175,480.9194152914669,260.36550651845613,193.2677429594118,0.0,252.4384938377326,194.2452793243382,0.0,0,1
5,2024-05-13 16:37:21.369652,-0.03820929303765297,-0.30261045694351196,0.9426679611206055,203.69417116427925,194.47536585539112,0.0,69,146,190,148,-6.3280435,-6.525036,1.335089,537,320,172,107,0,-147.09063755154068,-4.0145816980988265,481.0497352957788,207.65767750464101,193.98659767292793,0.0,199.7306648239175,194.9641340378543,0.0,1,1
6,2024-05-13 16:37:21.491650,0.02561003342270851,-0.30261045694351196,0.9426679611206055,170.59585478090645,193.97164046451002,0.0,70,147,191,150,-5.4049034,-5.944314,1.3073595,537,318,172,107,0,-146.56408011454224,-4.569492610079258,481.2091843488649,174.55936112126824,193.4828722820468,0.0,166.6323484405447,194.4604086469732,0.0,1,1
7,2024-05-13 16:37:21.613160,0.04208618402481079,-0.2753600776195526,0.9578964114189148,162.31621490266875,177.5052010190522,0.0,70,149,191,152,-5.545704,-5.1152782,1.3122103,537,317,172,107,0,-146.35633554566905,-4.908708455438222,481.27216685129713,166.2797212430305,177.016432836589,0.0,158.352708562307,177.99396920151543,0.0,1,1
8,2024-05-13 16:37:21.724894,0.07231876999139786,-0.2683829963207245,0.9614716172218323,147.51736519109,173.32775598641933,0.0,69,148,190,151,-5.439152,-5.0675964,1.4977415,537,317,172,107,0,-146.60629146157774,-5.0580316839649155,481.19605603971195,151.48087153145175,172.83898780395612,0.0,143.5538588507282,173.81652416888255,0.0,1,1
9,2024-05-13 16:37:21.835182,0.07231876999139786,-0.2652212083339691,0.9614716172218323,147.17565975052156,172.07460304879794,0.0,70,149,191,152,-5.120403,-4.8159957,1.3569171,536,316,172,107,0,-146.2721353493902,-4.756463449191786,481.2964236893296,151.13916609088335,171.58583486633472,0.0,143.2121534101598,172.56337123126116,0.0,1,1
